City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tual,ID,2022-01-03 04:50:09,-5.6667,132.75,82.96,75,99,12.21
68,Kapaa,US,2022-01-03 04:50:09,22.0752,-159.319,75.18,82,75,1.01
69,Waingapu,ID,2022-01-03 04:50:09,-9.6567,120.2641,85.3,70,91,5.08
70,Vostok,RU,2022-01-03 04:50:10,46.4856,135.8833,-5.6,94,100,11.18
71,Gumdag,TM,2022-01-03 04:50:10,39.2061,54.5906,45.46,76,100,10.13
72,Cape Town,ZA,2022-01-03 04:50:04,-33.9258,18.4232,63.1,83,20,5.01
73,Portland,US,2022-01-03 04:49:07,45.5234,-122.6762,51.6,81,100,1.01
74,New Norfolk,AU,2022-01-03 04:50:11,-42.7826,147.0587,71.65,34,98,5.82
75,Taunggyi,MM,2022-01-03 04:50:12,20.7833,97.0333,70.9,34,34,4.45
76,Simpang,ID,2022-01-03 04:50:12,-1.2667,104.0833,87.17,59,100,4.85
77,Coria,ES,2022-01-03 04:50:13,39.9879,-6.5377,43.45,91,94,1.54
78,Iqaluit,CA,2022-01-03 04:50:13,63.7506,-68.5145,-4.27,70,40,0.0
79,Lipari,IT,2022-01-03 04:50:13,38.4674,14.954,57.76,71,100,6.55
80,Kavieng,PG,2022-01-03 04:50:14,-2.5744,150.7967,82.87,78,100,14.14
81,Beringovskiy,RU,2022-01-03 04:50:14,63.05,179.3167,25.63,94,100,11.86
82,Kodiak,US,2022-01-03 04:50:15,57.79,-152.4072,16.88,70,97,33.64
83,Maragogi,BR,2022-01-03 04:50:15,-9.0122,-35.2225,76.71,80,45,7.43
84,Tura,IN,2022-01-03 04:50:16,25.5198,90.2201,72.66,39,35,2.53
85,West Bay,KY,2022-01-03 04:50:16,19.3667,-81.4167,78.01,83,0,1.01
86,Castro,BR,2022-01-03 04:50:17,-24.7911,-50.0119,63.12,91,13,3.8
87,Airai,TL,2022-01-03 04:50:17,-8.9266,125.4092,71.53,75,88,2.19
88,Chambas,CU,2022-01-03 04:50:17,22.1928,-78.9136,68.54,85,0,3.24
89,Ponta Do Sol,PT,2022-01-03 04:50:18,32.6667,-17.1,69.12,18,19,3.51
90,Grants,US,2022-01-03 04:50:18,35.1473,-107.8514,19.17,75,2,0.45
91,Nizhniy Kuranakh,RU,2022-01-03 04:51:19,58.8353,125.4869,-16.96,97,99,2.19
92,Mount Gambier,AU,2022-01-03 04:51:20,-37.8333,140.7667,67.91,45,75,18.41
93,Borogontsy,RU,2022-01-03 04:51:21,62.6683,131.1683,-41.98,100,100,2.53
94,Nome,US,2022-01-03 04:51:21,64.5011,-165.4064,-14.73,76,1,0.0
95,Gogrial,SS,2022-01-03 04:51:22,8.5332,28.1004,70.52,31,3,9.33
96,Abu Dhabi,AE,2022-01-03 04:49:27,24.4667,54.3667,75.22,73,40,4.0
97,Norman Wells,CA,2022-01-03 04:51:22,65.282,-126.8329,-30.96,68,75,13.8
98,San Vicente De Chucuri,CO,2022-01-03 04:51:23,6.881,-73.4098,72.77,89,43,3.29
99,Belmonte,BR,2022-01-03 04:51:23,-15.8631,-38.8828,75.7,84,100,5.93
100,Victor Harbor,AU,2022-01-03 04:51:24,-35.5667,138.6167,77.72,68,20,3.0
