City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Davila,78.46,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
211,Merauke,85.19,broken clouds,-8.4667,140.3333,
214,Honavar,71.53,overcast clouds,14.2833,74.45,Hotel Sagar Residency
215,Kaili,78.26,broken clouds,-3.4626,120.2147,
221,Acapulco,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
223,Comodoro Rivadavia,75.06,clear sky,-45.8667,-67.5,Austral Hotel
224,Port Moresby,84.9,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
225,Gorontalo,88.93,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
226,Vangaindrano,72.57,light rain,-23.35,47.6,Hotel Fanilo
229,Sechura,72.73,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
230,Bathsheba,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
234,Plettenberg Bay,71.11,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
235,Hithadhoo,81.64,clear sky,-0.6,73.0833,Scoop Guest House
238,Inongo,73.74,broken clouds,-1.95,18.2667,Hotel Du Lac
239,Black River,73.98,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
242,Bundaberg,86.29,scattered clouds,-24.85,152.35,Takalvan Motel
243,Labuan,84.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
247,Bajil,74.21,clear sky,15.0584,43.2851,فندق حضرموت
257,Trinidad,74.79,overcast clouds,-14.8333,-64.9,Hotel Piesta
259,Bentiu,78.19,overcast clouds,9.2333,29.8333,Mandela hôtel
263,Sarangani,81.21,overcast clouds,5.4033,125.4636,Ballistic Islet
270,Santa Ines,73.9,overcast clouds,-3.6667,-45.38,Palace hotel
278,Lima,71.85,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
287,Iquique,71.64,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
288,Tecoanapa,78.28,overcast clouds,16.5167,-98.75,Hotel Manglares
291,Matara,74.52,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
293,Bambous Virieux,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
306,Kalmunai,75.72,overcast clouds,7.4167,81.8167,VS Villa
307,Yola,71.17,few clouds,9.2,12.4833,Muna Hotel
308,Bengkulu,80.74,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
314,Bonthe,79.03,light rain,7.5264,-12.505,Bonthe Holiday Village
320,Lakes Entrance,88.57,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
321,Cantanhede,73.2,light rain,-3.6333,-44.3767,HOTEL FE EM DEUS
326,Pedasi,75.07,clear sky,7.5333,-80.0333,Selina Pedasi
327,Olinda,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
328,Jutai,73.85,overcast clouds,-5.1833,-68.9,
329,Kirakira,85.59,scattered clouds,-10.4544,161.9205,SanBiz Lodge
333,Touros,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
337,Angoche,73.08,heavy intensity rain,-16.2325,39.9086,Guest House HESADA
339,Saint-Georges,73.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
340,Punta De Piedra,77.83,broken clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
342,Ixtapa,72.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
346,Poum,82.4,few clouds,-20.2333,164.0167,Gîte kajeon
348,Noumea,85.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
349,Kahului,81.66,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
350,Aracati,80.55,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
353,Tanggul,85.23,overcast clouds,-8.1645,113.4525,Padepokan HM Arum Sabil
363,Nortelandia,72.75,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
368,Cabedelo,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
372,Carutapera,73.98,moderate rain,-1.195,-46.02,Lidera
374,Kapit,78.12,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
379,Alofi,80.47,moderate rain,-19.0595,-169.9187,Taloa Heights
380,Port-Gentil,79.88,overcast clouds,-0.7193,8.7815,Fengshui Residence
383,Huarmey,71.6,clear sky,-10.0681,-78.1522,Hotel Miramar
387,San Rafael,84.58,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
392,Innisfail,83.88,moderate rain,-17.5333,146.0333,Moondarra Motel
393,Christchurch,78.48,scattered clouds,-43.5333,172.6333,The George
395,Maxixe,72.86,few clouds,-23.8597,35.3472,Oceano
396,Pandan,81.37,broken clouds,14.0453,124.1694,Bonifacio Lodge
397,Cozumel,77.07,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
405,Anuradhapura,74.05,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
406,San Isidro,72.99,clear sky,-12.1167,-77.05,Soul Mate-Inn
407,Bubaque,79.11,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
414,Quepos,79.9,clear sky,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
417,Bayeux,77.63,clear sky,-7.125,-34.9322,Infinity Motel
418,Sumbe,74.57,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
419,Port Macquarie,81.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
428,Meulaboh,75.04,heavy intensity rain,4.1363,96.1285,Kost Pria
432,Itarema,78.87,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
438,Yanam,73.8,scattered clouds,16.7333,82.2167,The Regency Hotel
440,Bani,73.74,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
443,Cukai,80.74,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
446,Roebourne,89.31,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
448,Marsh Harbour,74.5,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
449,Bairiki,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
451,Lopez,82.6,few clouds,13.8844,122.2642,Kainang Pinoy (KP) Hotel and Restaurant
452,Pradera,72.28,overcast clouds,3.4211,-76.2447,conjunto pradera
454,Impfondo,77.27,broken clouds,1.6381,18.0667,Auberge La Place de Jules
457,Kismayo,78.48,scattered clouds,-0.3582,42.5454,Agan-Hotel
459,Tabuk,75.34,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
461,Mudgee,77.05,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
463,Namuac,76.77,broken clouds,18.6109,121.1657,Mlin Hotel
466,Lazaro Cardenas,76.51,clear sky,17.9583,-102.2,quinta antigua
470,Lakatoro,84.79,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
473,Sawtell,84.18,clear sky,-30.3833,153.1,The Bungalow Sawtell
475,Vikramasingapuram,77.95,scattered clouds,8.714,77.3893,Papanasam Lodge (Raja Lodge & Tourist Home)
476,Fare,81.36,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
479,Doka,76.24,clear sky,13.5167,35.7667,
481,Masuguru,72.66,light rain,-11.3667,38.4167,
483,Eyl,72.81,scattered clouds,7.9803,49.8164,Amiin Hotel
487,Perth,75.18,clear sky,-31.9333,115.8333,Beatty Lodge
493,Presidencia Roque Saenz Pena,79.86,clear sky,-26.7852,-60.4388,Hotel Aconcagua
494,Ambilobe,74.59,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
497,Acajutla,78.8,few clouds,13.5928,-89.8275,asi es
501,Mataram,86.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
506,Tucuman,78.8,haze,-26.8241,-65.2226,Dallas Hotel Tucuman
508,Quelimane,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
514,Juba,79.39,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
517,Maputo,72.23,scattered clouds,-25.9653,32.5892,Pestana Rovuma
519,San Borja,76.78,overcast clouds,-14.8167,-66.85,
520,Saint-Pierre,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
522,Kavieng,84.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
524,Sibolga,79.25,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
525,Biak,83.28,overcast clouds,-0.9131,122.8766,Penginapan Kim
527,Chontalpa,72.88,few clouds,17.7,-93.5167,
528,Oussouye,77.86,overcast clouds,12.485,-16.5469,Auberge du Routard
531,Sandakan,83.88,scattered clouds,5.8402,118.1179,Hotel Sandakan
533,Ilebo,71.13,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
536,Tarakan,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
